"filename", "language", "JavaScript", "Vue", "SCSS", "comment", "blank", "total"
"d:\projects\study-163\src\App.vue", "Vue", 0, 30, 0, 1, 3, 34
"d:\projects\study-163\src\api\home.js", "JavaScript", 1, 0, 0, 0, 1, 2
"d:\projects\study-163\src\api\index.js", "JavaScript", 4, 0, 0, 3, 3, 10
"d:\projects\study-163\src\assets\public.scss", "SCSS", 0, 0, 68, 5, 5, 78
"d:\projects\study-163\src\assets\variable.scss", "SCSS", 0, 0, 2, 1, 1, 4
"d:\projects\study-163\src\components\BaseFooter.vue", "Vue", 0, 16, 0, 0, 2, 18
"d:\projects\study-163\src\components\BaseHeader.vue", "Vue", 0, 175, 0, 5, 6, 186
"d:\projects\study-163\src\components\BaseLoginDialog.vue", "Vue", 0, 199, 0, 3, 6, 208
"d:\projects\study-163\src\components\common\tab.vue", "Vue", 0, 19, 0, 0, 2, 21
"d:\projects\study-163\src\components\common\tabs.vue", "Vue", 0, 50, 0, 0, 3, 53
"d:\projects\study-163\src\components\index.js", "JavaScript", 18, 0, 0, 3, 4, 25
"d:\projects\study-163\src\main.js", "JavaScript", 18, 0, 0, 4, 3, 25
"d:\projects\study-163\src\router\index.js", "JavaScript", 51, 0, 0, 1, 6, 58
"d:\projects\study-163\src\static\jquery-3.6.0.js", "JavaScript", 6895, 0, 0, 1911, 2076, 10882
"d:\projects\study-163\src\static\jquery.danmu.min.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\projects\study-163\src\store\course.js", "JavaScript", 152, 0, 0, 0, 14, 166
"d:\projects\study-163\src\store\home.js", "JavaScript", 57, 0, 0, 0, 3, 60
"d:\projects\study-163\src\store\index.js", "JavaScript", 15, 0, 0, 0, 4, 19
"d:\projects\study-163\src\store\user.js", "JavaScript", 52, 0, 0, 10, 6, 68
"d:\projects\study-163\src\utils\http.js", "JavaScript", 50, 0, 0, 24, 7, 81
"d:\projects\study-163\src\utils\methods.js", "JavaScript", 12, 0, 0, 5, 2, 19
"d:\projects\study-163\src\views\course\CourseDetail.vue", "Vue", 0, 59, 0, 0, 4, 63
"d:\projects\study-163\src\views\course\components\Banner.vue", "Vue", 0, 179, 0, 3, 4, 186
"d:\projects\study-163\src\views\course\components\CourseTabs.vue", "Vue", 0, 150, 0, 2, 8, 160
"d:\projects\study-163\src\views\course\components\CourseTip.vue", "Vue", 0, 67, 0, 0, 4, 71
"d:\projects\study-163\src\views\course\components\RelativeCourse.vue", "Vue", 0, 56, 0, 0, 2, 58
"d:\projects\study-163\src\views\course\components\SignUpDialog.vue", "Vue", 0, 122, 0, 0, 4, 126
"d:\projects\study-163\src\views\home\HomePage.vue", "Vue", 0, 46, 0, 0, 3, 49
"d:\projects\study-163\src\views\home\components\Category.vue", "Vue", 0, 149, 0, 0, 9, 158
"d:\projects\study-163\src\views\home\components\CourseCard.vue", "Vue", 0, 116, 0, 0, 3, 119
"d:\projects\study-163\src\views\home\components\CourseList.vue", "Vue", 0, 86, 0, 0, 5, 91
"d:\projects\study-163\src\views\home\components\ProList.vue", "Vue", 0, 86, 0, 0, 4, 90
"d:\projects\study-163\src\views\home\components\Recommend.vue", "Vue", 0, 197, 0, 4, 2, 203
"d:\projects\study-163\src\views\home\components\Swiper.vue", "Vue", 0, 36, 0, 0, 8, 44
"d:\projects\study-163\src\views\learn\CourseLearn.vue", "Vue", 0, 111, 0, 8, 5, 124
"d:\projects\study-163\src\views\learn\components\CourseCatalog.vue", "Vue", 0, 90, 0, 2, 5, 97
"d:\projects\study-163\src\views\learn\components\CourseDiscuss.vue", "Vue", 0, 76, 0, 0, 3, 79
"d:\projects\study-163\src\views\learn\components\CourseLearnAside.vue", "Vue", 0, 141, 0, 2, 3, 146
"d:\projects\study-163\src\views\learn\components\CourseNote.vue", "Vue", 0, 117, 0, 0, 4, 121
"d:\projects\study-163\src\views\learn\components\DanMu.vue", "Vue", 0, 177, 0, 7, 5, 189
"d:\projects\study-163\src\views\learn\components\LivePlayer.vue", "Vue", 0, 141, 0, 4, 6, 151
"d:\projects\study-163\src\views\learn\components\TestBox.vue", "Vue", 0, 197, 0, 4, 7, 208
"d:\projects\study-163\src\views\learn\components\VideoPlayer.vue", "Vue", 0, 65, 0, 3, 3, 71
"d:\projects\study-163\src\views\login\Login.vue", "Vue", 0, 4, 0, 0, 1, 5
"d:\projects\study-163\src\views\study\CourseMain.vue", "Vue", 0, 164, 0, 1, 6, 171
"d:\projects\study-163\src\views\study\components\CourseForum.vue", "Vue", 0, 243, 0, 0, 6, 249
"d:\projects\study-163\src\views\study\components\CourseNote.vue", "Vue", 0, 309, 0, 5, 4, 318
"d:\projects\study-163\src\views\study\components\DiscussArea.vue", "Vue", 0, 199, 0, 1, 6, 206
"d:\projects\study-163\src\views\study\components\MainInfo.vue", "Vue", 0, 324, 0, 3, 4, 331
"d:\projects\study-163\src\views\user\MyOrder.vue", "Vue", 0, 63, 0, 0, 5, 68
"d:\projects\study-163\src\views\user\PersonInfo.vue", "Vue", 0, 33, 0, 0, 3, 36
"d:\projects\study-163\src\views\user\components\InfoEdit.vue", "Vue", 0, 10, 0, 154, 0, 164
"Total", "-", 7326, 4302, 70, 2179, 2293, 16170